#Trabajo,Etapa,Tiempo
Trabajo_1,1,370
Trabajo_2,1,333
Trabajo_3,1,419
Trabajo_4,1,360
Trabajo_5,1,62
Trabajo_6,1,311
Trabajo_7,1,173
Trabajo_1,2,235
Trabajo_2,2,410
Trabajo_3,2,486
Trabajo_4,2,419
Trabajo_5,2,328
Trabajo_6,2,350
Trabajo_7,2,292
Trabajo_1,3,473
Trabajo_2,3,255
Trabajo_3,3,342
Trabajo_4,3,179
Trabajo_5,3,407
Trabajo_6,3,207
Trabajo_7,3,311
Trabajo_1,4,346
Trabajo_2,4,90
Trabajo_3,4,144
Trabajo_4,4,250
Trabajo_5,4,313
Trabajo_6,4,60
Trabajo_7,4,112
Trabajo_1,5,319
Trabajo_2,5,93
Trabajo_3,5,378
Trabajo_4,5,72
Trabajo_5,5,494
Trabajo_6,5,375
Trabajo_7,5,170
Trabajo_1,6,285
Trabajo_2,6,271
Trabajo_3,6,400
Trabajo_4,6,120
Trabajo_5,6,232
Trabajo_6,6,237
Trabajo_7,6,462
Trabajo_1,7,464
Trabajo_2,7,458
Trabajo_3,7,415
Trabajo_4,7,165
Trabajo_5,7,170
Trabajo_6,7,221
Trabajo_7,7,249
Trabajo_1,8,421
Trabajo_2,8,265
Trabajo_3,8,287
Trabajo_4,8,335
Trabajo_5,8,238
Trabajo_6,8,260
Trabajo_7,8,335
Trabajo_1,9,67
Trabajo_2,9,150
Trabajo_3,9,443
Trabajo_4,9,411
Trabajo_5,9,399
Trabajo_6,9,277
Trabajo_7,9,303
Trabajo_1,10,420
Trabajo_2,10,449
Trabajo_3,10,317
Trabajo_4,10,372
Trabajo_5,10,250
Trabajo_6,10,279
Trabajo_7,10,69
