#Trabajo,Etapa,Tiempo
Trabajo_1,1,370
Trabajo_2,1,333
Trabajo_3,1,419
Trabajo_4,1,360
Trabajo_5,1,62
Trabajo_6,1,311
Trabajo_7,1,173
Trabajo_8,1,235
Trabajo_9,1,410
Trabajo_10,1,486
Trabajo_11,1,419
Trabajo_12,1,328
Trabajo_13,1,350
Trabajo_14,1,292
Trabajo_15,1,473
Trabajo_1,2,255
Trabajo_2,2,342
Trabajo_3,2,179
Trabajo_4,2,407
Trabajo_5,2,207
Trabajo_6,2,311
Trabajo_7,2,346
Trabajo_8,2,90
Trabajo_9,2,144
Trabajo_10,2,250
Trabajo_11,2,313
Trabajo_12,2,60
Trabajo_13,2,112
Trabajo_14,2,319
Trabajo_15,2,93
Trabajo_1,3,378
Trabajo_2,3,72
Trabajo_3,3,494
Trabajo_4,3,375
Trabajo_5,3,170
Trabajo_6,3,285
Trabajo_7,3,271
Trabajo_8,3,400
Trabajo_9,3,120
Trabajo_10,3,232
Trabajo_11,3,237
Trabajo_12,3,462
Trabajo_13,3,464
Trabajo_14,3,458
Trabajo_15,3,415
Trabajo_1,4,165
Trabajo_2,4,170
Trabajo_3,4,221
Trabajo_4,4,249
Trabajo_5,4,421
Trabajo_6,4,265
Trabajo_7,4,287
Trabajo_8,4,335
Trabajo_9,4,238
Trabajo_10,4,260
Trabajo_11,4,335
Trabajo_12,4,67
Trabajo_13,4,150
Trabajo_14,4,443
Trabajo_15,4,411
Trabajo_1,5,399
Trabajo_2,5,277
Trabajo_3,5,303
Trabajo_4,5,420
Trabajo_5,5,449
Trabajo_6,5,317
Trabajo_7,5,372
Trabajo_8,5,250
Trabajo_9,5,279
Trabajo_10,5,69
Trabajo_11,5,380
Trabajo_12,5,219
Trabajo_13,5,244
Trabajo_14,5,246
Trabajo_15,5,286
Trabajo_1,6,129
Trabajo_2,6,205
Trabajo_3,6,271
Trabajo_4,6,157
Trabajo_5,6,98
Trabajo_6,6,380
Trabajo_7,6,337
Trabajo_8,6,187
Trabajo_9,6,176
Trabajo_10,6,387
Trabajo_11,6,451
Trabajo_12,6,377
Trabajo_13,6,221
Trabajo_14,6,368
Trabajo_15,6,283
Trabajo_1,7,473
Trabajo_2,7,149
Trabajo_3,7,188
Trabajo_4,7,182
Trabajo_5,7,428
Trabajo_6,7,482
Trabajo_7,7,70
Trabajo_8,7,401
Trabajo_9,7,434
Trabajo_10,7,225
Trabajo_11,7,188
Trabajo_12,7,370
Trabajo_13,7,166
Trabajo_14,7,418
Trabajo_15,7,467
Trabajo_1,8,186
Trabajo_2,8,293
Trabajo_3,8,279
Trabajo_4,8,186
Trabajo_5,8,342
Trabajo_6,8,100
Trabajo_7,8,369
Trabajo_8,8,458
Trabajo_9,8,359
Trabajo_10,8,380
Trabajo_11,8,465
Trabajo_12,8,194
Trabajo_13,8,461
Trabajo_14,8,424
Trabajo_15,8,343
Trabajo_1,9,402
Trabajo_2,9,346
Trabajo_3,9,117
Trabajo_4,9,210
Trabajo_5,9,322
Trabajo_6,9,471
Trabajo_7,9,396
Trabajo_8,9,410
Trabajo_9,9,264
Trabajo_10,9,227
Trabajo_11,9,384
Trabajo_12,9,230
Trabajo_13,9,266
Trabajo_14,9,75
Trabajo_15,9,63
Trabajo_1,10,130
Trabajo_2,10,188
Trabajo_3,10,158
Trabajo_4,10,206
Trabajo_5,10,72
Trabajo_6,10,255
Trabajo_7,10,380
Trabajo_8,10,142
Trabajo_9,10,369
Trabajo_10,10,138
Trabajo_11,10,141
Trabajo_12,10,357
Trabajo_13,10,200
Trabajo_14,10,164
Trabajo_15,10,361
