tipo,planta,cd,tienda,periodo,valor
CAPACIDAD_PRODUCCION,P1,,,1.0,2361.0
CAPACIDAD_PRODUCCION,P1,,,2.0,2086.0
CAPACIDAD_PRODUCCION,P1,,,3.0,2003.0
CAPACIDAD_PRODUCCION,P1,,,4.0,1702.0
CAPACIDAD_PRODUCCION,P1,,,5.0,1894.0
CAPACIDAD_PRODUCCION,P1,,,6.0,2059.0
CAPACIDAD_PRODUCCION,P1,,,7.0,2273.0
CAPACIDAD_PRODUCCION,P2,,,1.0,1249.0
CAPACIDAD_PRODUCCION,P2,,,2.0,1143.0
CAPACIDAD_PRODUCCION,P2,,,3.0,1173.0
CAPACIDAD_PRODUCCION,P2,,,4.0,1180.0
CAPACIDAD_PRODUCCION,P2,,,5.0,1648.0
CAPACIDAD_PRODUCCION,P2,,,6.0,1216.0
CAPACIDAD_PRODUCCION,P2,,,7.0,1579.0
CAPACIDAD_PRODUCCION,P3,,,1.0,1644.0
CAPACIDAD_PRODUCCION,P3,,,2.0,1737.0
CAPACIDAD_PRODUCCION,P3,,,3.0,1931.0
CAPACIDAD_PRODUCCION,P3,,,4.0,1628.0
CAPACIDAD_PRODUCCION,P3,,,5.0,2117.0
CAPACIDAD_PRODUCCION,P3,,,6.0,2201.0
CAPACIDAD_PRODUCCION,P3,,,7.0,1979.0
CAPACIDAD_PRODUCCION,P4,,,1.0,1445.0
CAPACIDAD_PRODUCCION,P4,,,2.0,1760.0
CAPACIDAD_PRODUCCION,P4,,,3.0,1549.0
CAPACIDAD_PRODUCCION,P4,,,4.0,1491.0
CAPACIDAD_PRODUCCION,P4,,,5.0,1732.0
CAPACIDAD_PRODUCCION,P4,,,6.0,1811.0
CAPACIDAD_PRODUCCION,P4,,,7.0,1723.0
CAPACIDAD_INVENTARIO_PLANTA,P1,,,,4224.0
CAPACIDAD_INVENTARIO_PLANTA,P2,,,,4299.0
CAPACIDAD_INVENTARIO_PLANTA,P3,,,,4031.0
CAPACIDAD_INVENTARIO_PLANTA,P4,,,,3090.0
CAPACIDAD_INVENTARIO_CD,,CD1,,,3407.0
CAPACIDAD_INVENTARIO_CD,,CD2,,,3020.0
CAPACIDAD_INVENTARIO_CD,,CD3,,,2351.0
DEMANDA_MINIMA,,,T1,1.0,761.0
DEMANDA_MINIMA,,,T1,2.0,564.0
DEMANDA_MINIMA,,,T1,3.0,571.0
DEMANDA_MINIMA,,,T1,4.0,543.0
DEMANDA_MINIMA,,,T1,5.0,466.0
DEMANDA_MINIMA,,,T1,6.0,568.0
DEMANDA_MINIMA,,,T1,7.0,326.0
DEMANDA_MINIMA,,,T2,1.0,455.0
DEMANDA_MINIMA,,,T2,2.0,424.0
DEMANDA_MINIMA,,,T2,3.0,759.0
DEMANDA_MINIMA,,,T2,4.0,650.0
DEMANDA_MINIMA,,,T2,5.0,587.0
DEMANDA_MINIMA,,,T2,6.0,757.0
DEMANDA_MINIMA,,,T2,7.0,316.0
DEMANDA_MINIMA,,,T3,1.0,495.0
DEMANDA_MINIMA,,,T3,2.0,674.0
DEMANDA_MINIMA,,,T3,3.0,568.0
DEMANDA_MINIMA,,,T3,4.0,442.0
DEMANDA_MINIMA,,,T3,5.0,330.0
DEMANDA_MINIMA,,,T3,6.0,362.0
DEMANDA_MINIMA,,,T3,7.0,414.0
DEMANDA_MINIMA,,,T4,1.0,599.0
DEMANDA_MINIMA,,,T4,2.0,691.0
DEMANDA_MINIMA,,,T4,3.0,539.0
DEMANDA_MINIMA,,,T4,4.0,545.0
DEMANDA_MINIMA,,,T4,5.0,455.0
DEMANDA_MINIMA,,,T4,6.0,371.0
DEMANDA_MINIMA,,,T4,7.0,526.0
DEMANDA_MINIMA,,,T5,1.0,573.0
DEMANDA_MINIMA,,,T5,2.0,439.0
DEMANDA_MINIMA,,,T5,3.0,501.0
DEMANDA_MINIMA,,,T5,4.0,516.0
DEMANDA_MINIMA,,,T5,5.0,549.0
DEMANDA_MINIMA,,,T5,6.0,413.0
DEMANDA_MINIMA,,,T5,7.0,572.0
COSTO_APERTURA_PLANTA,P1,,,,25801.0
COSTO_APERTURA_PLANTA,P2,,,,18504.0
COSTO_APERTURA_PLANTA,P3,,,,20370.0
COSTO_APERTURA_PLANTA,P4,,,,21746.0
COSTO_PRODUCCION,P1,,,1.0,14.08
COSTO_PRODUCCION,P1,,,2.0,13.77
COSTO_PRODUCCION,P1,,,3.0,14.0
COSTO_PRODUCCION,P1,,,4.0,14.37
COSTO_PRODUCCION,P1,,,5.0,13.69
COSTO_PRODUCCION,P1,,,6.0,14.38
COSTO_PRODUCCION,P1,,,7.0,14.16
COSTO_PRODUCCION,P2,,,1.0,11.73
COSTO_PRODUCCION,P2,,,2.0,11.41
COSTO_PRODUCCION,P2,,,3.0,11.19
COSTO_PRODUCCION,P2,,,4.0,10.83
COSTO_PRODUCCION,P2,,,5.0,11.34
COSTO_PRODUCCION,P2,,,6.0,11.23
COSTO_PRODUCCION,P2,,,7.0,10.75
COSTO_PRODUCCION,P3,,,1.0,13.64
COSTO_PRODUCCION,P3,,,2.0,13.94
COSTO_PRODUCCION,P3,,,3.0,13.23
COSTO_PRODUCCION,P3,,,4.0,13.02
COSTO_PRODUCCION,P3,,,5.0,13.68
COSTO_PRODUCCION,P3,,,6.0,14.2
COSTO_PRODUCCION,P3,,,7.0,13.89
COSTO_PRODUCCION,P4,,,1.0,14.65
COSTO_PRODUCCION,P4,,,2.0,14.2
COSTO_PRODUCCION,P4,,,3.0,15.17
COSTO_PRODUCCION,P4,,,4.0,14.34
COSTO_PRODUCCION,P4,,,5.0,15.18
COSTO_PRODUCCION,P4,,,6.0,15.06
COSTO_PRODUCCION,P4,,,7.0,14.82
COSTO_INVENTARIO_PLANTA,P1,,,1.0,1.04
COSTO_INVENTARIO_PLANTA,P1,,,2.0,1.04
COSTO_INVENTARIO_PLANTA,P1,,,3.0,1.04
COSTO_INVENTARIO_PLANTA,P1,,,4.0,1.04
COSTO_INVENTARIO_PLANTA,P1,,,5.0,1.04
COSTO_INVENTARIO_PLANTA,P1,,,6.0,1.04
COSTO_INVENTARIO_PLANTA,P1,,,7.0,1.04
COSTO_INVENTARIO_PLANTA,P2,,,1.0,0.58
COSTO_INVENTARIO_PLANTA,P2,,,2.0,0.58
COSTO_INVENTARIO_PLANTA,P2,,,3.0,0.58
COSTO_INVENTARIO_PLANTA,P2,,,4.0,0.58
COSTO_INVENTARIO_PLANTA,P2,,,5.0,0.58
COSTO_INVENTARIO_PLANTA,P2,,,6.0,0.58
COSTO_INVENTARIO_PLANTA,P2,,,7.0,0.58
COSTO_INVENTARIO_PLANTA,P3,,,1.0,0.5
COSTO_INVENTARIO_PLANTA,P3,,,2.0,0.5
